variant,config_id,l1_ratio,alpha,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features_total,avg_features_selected,combo_score
v5_age_logPrice_allFE_FS65,5,0.2,0.0017190722018585747,3714.4393765888917,2199.687825650567,0.8544674038244685,-259.80828998752577,3736.791217126435,2204.344839070177,0.8526896918172003,-262.9706958586277,25.0,17.0,2970.568028098306
v5_age_logPrice_allFE_FS65,10,0.4,0.00022539339047347913,3718.3089719965265,2199.7251427417773,0.8541639533701435,-244.10812458582018,3740.9671188506372,2204.536781191765,0.8523596005229886,-247.3085879633731,25.0,17.0,2972.751950021201
v5_age_logPrice_allFE_FS65,2,0.5,0.00022539339047347913,3718.3162167141636,2199.770488369805,0.8541633707719622,-244.519387421383,3740.973458487961,2204.5842515795784,0.8523591644610241,-247.72237971842998,25.0,17.0,2972.77885503377
v5_age_logPrice_allFE_FS65,8,0.3,0.002580861540418077,3719.5363724749723,2205.5981788721883,0.8540677209172961,-272.7313256040198,3741.2933915835965,2210.137717762219,0.8523345516048534,-275.92254920702146,25.0,17.0,2975.7155546729077
v5_age_logPrice_allFE_FS65,6,0.6,0.00015013107289081726,3718.6668171867686,2199.8625139767582,0.8541358701152977,-243.5178950179191,3741.3406523081667,2204.6840582571585,0.8523301129396883,-246.7215353575387,25.0,17.0,2973.0123552826626
v5_age_logPrice_allFE_FS65,11,0.5,0.0011450475699382812,3719.8353901888377,2203.149565520418,0.8540440529024524,-259.23242184806486,3742.160417497336,2207.819760697378,0.8522664629646266,-262.46544435143136,25.0,17.0,2974.9900890973568
v5_age_logPrice_allFE_FS65,9,0.4,0.002580861540418077,3725.448760512559,2210.060053141143,0.8536035055589626,-276.6083749284387,3747.3674523785025,2214.635823053776,0.8518539498151421,-279.81847598264017,25.0,17.0,2981.001637716139
v5_age_logPrice_allFE_FS65,3,0.4,0.005817091329374358,3737.036099274771,2219.6856513529256,0.8526917692061702,-320.8138165604504,3758.8242530129573,2224.216920053502,0.8509438822409896,-323.88340605533534,25.0,17.0,2991.5205865332296
v5_age_logPrice_allFE_FS65,12,0.8,0.003874675120456132,3748.3943218555,2225.4468636070237,0.8517946483887784,-319.75826412625116,3771.110301957529,2230.195813028473,0.849966281920888,-322.9387701735575,25.0,17.0,3000.653057493001
v5_age_logPrice_allFE_FS65,4,0.3,0.013111339374215644,3774.025372941682,2246.896713540375,0.8497620993853539,-390.0191666729479,3794.362040213555,2251.3552792406936,0.8481092350985744,-392.7696505050015,25.0,17.0,3022.858659727124
v5_age_logPrice_allFE_FS65,13,0.8,0.008733261623828438,3810.999250825363,2271.0541298419257,0.8468035809551655,-405.12405177871693,3833.4193531781248,2275.8710117633345,0.8449650119586227,-408.09829735858284,25.0,17.0,3054.6451824707297
v5_age_logPrice_allFE_FS65,15,0.6,0.013111339374215644,3820.446120838247,2281.652673299008,0.8460435660240557,-442.1007956897606,3841.5730664479033,2286.109019468901,0.844305464121064,-444.9102808126563,25.0,17.0,3063.841042958402
v5_age_logPrice_allFE_FS65,1,0.7,0.02955209235202888,4040.5486034292953,2447.9659139904234,0.8277943671813635,-676.0661101270742,4057.760150425097,2451.7077580192035,0.8262838759321957,-678.3219894239405,25.0,17.0,3254.7339542221503
v5_age_logPrice_allFE_FS65,7,0.6,0.06660846290809161,4665.38616189813,2900.4661196930483,0.7704168098995336,-1003.3825253395861,4674.349518857618,2902.9707281549954,0.7694717637885172,-1004.6786508008195,25.0,17.0,3788.6601235063067
v5_age_logPrice_allFE_FS65,14,0.7,0.06660846290809161,4822.875232678039,3015.6939343181716,0.7546550507143198,-1069.2434458663083,4830.928145512596,3018.0581223495687,0.7537670459158938,-1070.413933775375,25.0,17.0,3924.4931339310824
