config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features
5,800,4,1,0.7,20.0,False,1377.7709200427485,826.1485925174281,0.9799744009466644,-96.80004315435201,2230.750971587781,1283.9186700687997,0.9473070217054742,-154.04387686754677,15.0
10,600,2,1,0.7,30.0,False,345.20568133305267,106.6128713797342,0.9987428375122271,-8.7223373688675,2247.608593996338,1303.626712186227,0.9464951386902983,-103.17341102254696,15.0
3,1000,4,1,0.5,30.0,False,1009.6674285504055,573.09804575015,0.9892421837696341,-63.071886100210186,2248.788272491126,1267.5564274239587,0.9464640669170741,-137.63872875334923,15.0
9,800,4,2,0.7,20.0,False,1642.415317273825,969.1778971238759,0.9715395399890652,-126.57797299432386,2312.8743769238704,1306.3146165374262,0.9433685105239452,-170.2154091770612,15.0
7,1000,4,2,0.7,20.0,False,1641.098894403539,968.6105364216112,0.9715851715366199,-126.50770589626617,2313.0275716931155,1306.1158248130203,0.9433587848436296,-170.33898370339358,15.0
19,1000,2,2,0.7,20.0,False,1641.098894403539,968.6105364216112,0.9715851715366199,-126.50770589626626,2313.0275716931164,1306.1158248130205,0.9433587848436296,-170.3389837033937,15.0
11,800,2,1,0.5,,False,211.67427903790633,23.764391860343245,0.9995270756625148,-0.97491471962856,2313.078172935084,1328.2074426521756,0.9433665876637298,-109.0963496671869,15.0
2,800,2,1,sqrt,30.0,False,672.262792279269,339.54144376950114,0.995232580706483,-46.999565682382354,2346.3831010291256,1304.793509782091,0.9417326374699633,-165.93267319896233,15.0
15,600,2,2,0.5,,False,1675.7829480201476,961.1111394883221,0.9703739810556604,-155.3427087333648,2370.6728660344506,1312.6470728161298,0.9405157030243214,-200.85064866974,15.0
6,1000,4,2,0.5,,False,1677.4510575237239,961.1895539362815,0.9703143660282092,-155.40591349715507,2370.800996344522,1312.3902398686737,0.940507728343136,-201.04930541809858,15.0
8,600,4,4,0.7,,False,2009.2197633006942,1122.02377098319,0.9574142199311753,-169.2847715736392,2443.0122586846746,1346.92892139884,0.9368290733840203,-197.4784139170692,15.0
1,1000,2,4,0.7,30.0,False,2010.355948668937,1122.5198680032815,0.9573655199016253,-169.35665011268213,2443.7515036531368,1347.0172265250364,0.9367927094440003,-197.71497611395375,15.0
18,1000,2,4,0.7,20.0,False,2075.1643052104564,1172.7256731667474,0.9545737841567266,-179.7278749878893,2470.258043276669,1370.4841480450882,0.9354226675867946,-207.381802435939,15.0
16,600,2,4,0.5,,False,2274.6737088651307,1268.3381530859112,0.9454215198360445,-252.44366717305667,2613.422310126406,1434.2878900924234,0.9277530344014681,-277.36262554140603,15.0
17,1000,4,4,0.5,30.0,False,2276.0708234591575,1268.2734955683927,0.9453543904043796,-251.7487251216227,2616.904147986686,1434.379128532495,0.9275574959639585,-276.4771501490119,15.0
12,600,2,4,0.5,20.0,False,2339.3022737190477,1321.162950610066,0.9422765000053754,-266.22655950922626,2650.2156926544003,1466.8070961580397,0.925717512041826,-290.42987328882975,15.0
4,800,2,1,sqrt,20.0,False,2038.390100922466,1251.2876975667648,0.9561725672899944,-301.2536231468397,2681.3043402315643,1563.2269375051742,0.9240521259913484,-363.3785368694553,15.0
13,600,4,4,sqrt,,False,3992.1152496416817,2321.6051466865365,0.8318576165017728,-848.4280376467391,4094.1030118634058,2366.533344352416,0.823032712336268,-856.5444938247147,15.0
20,800,4,4,sqrt,,False,3995.0097947828785,2321.5614865793623,0.831610171352831,-848.8154384212808,4096.593923631949,2366.486800759068,0.822821399261364,-856.938781691709,15.0
14,600,2,4,sqrt,20.0,False,4068.755056482073,2389.961621415012,0.8253372577464817,-864.0856745421214,4160.0002724528285,2428.9007918619536,0.8173207657944566,-871.7912680269462,15.0
