config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features
5,800,4,1,0.7,20.0,False,1372.711624771665,823.6444921318989,0.9801206284627508,-96.20242783565065,2228.3156333242605,1283.8200324684722,0.947427071000875,-153.72671288123428,12.0
3,1000,4,1,0.5,30.0,False,992.1141916035637,562.7032617806226,0.9896122913133805,-60.47686838229686,2238.3925794795728,1266.5865113244265,0.9469485520841217,-134.66605838401478,12.0
10,600,2,1,0.7,30.0,False,342.62996604454304,105.1584550406292,0.9987615113678766,-8.55869892640106,2250.318932699447,1304.183095334027,0.9463624916556501,-103.24439097946839,12.0
11,800,2,1,0.5,,False,211.67428265988013,23.764376077981815,0.9995270756452482,-0.9749431150417887,2303.7971528086546,1327.5298891930265,0.9438234704290895,-107.23427466564891,12.0
9,800,4,2,0.7,20.0,False,1636.3125652197784,965.8822315744424,0.9717510811323595,-125.69434157919041,2309.2903982960347,1305.188369482415,0.9435415111123748,-169.51834262533234,12.0
7,1000,4,2,0.7,20.0,False,1636.8413962325292,966.0431793998804,0.9717329773265957,-125.79106825236374,2310.430036874747,1305.2734491169367,0.9434842943641286,-169.57224594476992,12.0
19,1000,2,2,0.7,20.0,False,1636.8413962325294,966.0431793998805,0.9717329773265957,-125.7910682523638,2310.430036874747,1305.2734491169372,0.9434842943641286,-169.57224594477003,12.0
2,800,2,1,sqrt,30.0,False,568.2041267419789,264.1228738860631,0.9965942550297618,-31.424742987051772,2333.620108701237,1302.4053750728522,0.9423728859261098,-150.31471715692575,12.0
15,600,2,2,0.5,,False,1610.7779973169263,924.6948776794004,0.9726253342106822,-136.84764669636536,2338.5798655231474,1299.4940347712466,0.9421098940497914,-184.1716144586082,12.0
6,1000,4,2,0.5,,False,1611.6308114182439,924.8243044860972,0.9725967284665826,-137.07350476125816,2339.8718534637746,1299.551473406042,0.9420450042283024,-184.33570456767885,12.0
8,600,4,4,0.7,,False,2006.3149389979512,1121.2440569079772,0.9575370802391199,-168.51185681573006,2439.8787928130114,1346.8704353987343,0.9369949296727047,-196.58225948421756,12.0
1,1000,2,4,0.7,30.0,False,2007.6374986460553,1121.4838759843935,0.9574807989070958,-168.60182122001504,2441.0794319016813,1346.9451675400069,0.9369354414652815,-196.38041402309244,12.0
18,1000,2,4,0.7,20.0,False,2070.5439812742247,1170.5349652323598,0.954775749267476,-179.0508900438382,2466.853475272643,1369.3905939944511,0.93559645911289,-206.3419123317828,12.0
4,800,2,1,sqrt,20.0,False,1792.4174034492817,1094.3111075773445,0.9661111571192517,-231.0156997016121,2535.5479179691683,1466.4134180270762,0.9320499710692864,-298.62354698805234,12.0
17,1000,4,4,0.5,30.0,False,2201.8930118460826,1226.1772422426075,0.9488580661725803,-225.14778206802933,2565.415293762486,1407.266274445105,0.9303653059915634,-251.50568788314138,12.0
16,600,2,4,0.5,,False,2201.644502042813,1225.9834009949427,0.9488684544782581,-224.83539316935583,2567.0163788605755,1407.9418656986672,0.9302856277252419,-251.4327127481149,12.0
12,600,2,4,0.5,20.0,False,2263.0421437258883,1278.069273790074,0.9459762441116635,-237.43300268293,2598.142532352453,1437.7032717183763,0.9285940968187232,-262.9322910692482,12.0
13,600,4,4,sqrt,,False,3428.832430526947,1965.929947912141,0.8759442115919795,-674.4559179382338,3574.623816111675,2032.0409429505062,0.8650364226637206,-686.5764739664721,12.0
20,800,4,4,sqrt,,False,3429.242583772415,1967.1408558909757,0.8759234563508261,-676.194345858906,3575.153004171768,2032.7436314573572,0.8650112925902183,-688.10339746264,12.0
14,600,2,4,sqrt,20.0,False,3492.5517064071714,2028.5751004302824,0.8713082530068954,-690.0482096434002,3627.247969604078,2085.797688305675,0.8610586376034766,-701.6734452629397,12.0
