config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,rmse_mean,mae_mean,r2_mean,combo_score
17,1000,4,1,0.5,30.0,False,866.1530456739663,519.947899794289,0.9920836842423224,2204.7725281868657,1282.4612821471906,0.9485338707237649,1743.616905167028
7,800,2,2,0.7,30.0,False,1216.7572854096338,728.720515843381,0.9843790403530976,2220.756040348819,1285.6615642187794,0.947786661471838,1753.2088022837993
64,800,2,2,0.7,,False,1210.6074235656656,724.3013799400674,0.9845361121796739,2218.7016891557087,1286.4509180016814,0.9478817033176954,1752.576303578695
34,800,4,2,0.7,,False,1210.6074235656656,724.3013799400674,0.9845361121796739,2218.701689155709,1286.4509180016814,0.9478817033176954,1752.5763035786954
72,800,6,2,0.7,30.0,False,1355.7353268012562,806.6105885705867,0.9806074053099954,2224.9551390784586,1287.6407628802622,0.9475798661305584,1756.2979509793604
42,800,2,1,0.7,20.0,False,1057.1531245954366,637.4597960365854,0.988211424672433,2190.3902647083223,1294.5142469867499,0.9491899185587599,1742.452255847536
47,1200,2,1,0.7,20.0,False,1056.2152356214908,637.1116651547986,0.9882324327446534,2190.330134873714,1294.528872974073,0.9491879232262284,1742.4295039238937
33,1000,6,1,0.7,20.0,False,1383.4319011577882,864.4968854816726,0.9798101052548362,2198.192019210507,1297.7901720305554,0.9488362486389792,1747.9910956205313
50,1000,2,1,0.5,30.0,False,301.4896651063608,102.87900172657699,0.9990411029418966,2232.4951955559995,1306.13915711884,0.9472362244688435,1769.3171763374198
5,1200,4,2,0.5,30.0,False,1394.4311193935093,843.1791943282868,0.9794868139878201,2272.0420253646976,1310.547130488671,0.9453717103470525,1791.2945779266843
28,1000,4,2,0.5,30.0,False,1394.158889406931,843.1244842061092,0.9794947928980192,2272.1675653923508,1310.6272196752375,0.9453639422173936,1791.3973925337941
73,1200,4,3,0.7,,False,1589.772781798485,937.8444632380138,0.9733376188758254,2283.6837717928975,1313.884804390297,0.9448175968668443,1798.7842880915973
40,1200,4,3,0.7,30.0,False,1591.6168932908517,939.2198845330392,0.9732757911468004,2282.924646596079,1313.9820089982877,0.9448479886817389,1798.4533277971834
35,1000,4,3,0.7,30.0,False,1591.659892095065,939.3052996952587,0.9732744042469951,2283.476646313463,1314.0917691691266,0.944818938996445,1798.7842077412947
1,1000,2,3,0.7,30.0,False,1591.659892095065,939.3052996952588,0.9732744042469952,2283.476646313463,1314.0917691691266,0.944818938996445,1798.7842077412947
75,800,2,3,0.7,30.0,False,1592.350480280354,939.6018820904371,0.9732513290669661,2284.736545140903,1314.310352829942,0.9447577395028153,1799.5234489854226
23,800,4,3,0.7,30.0,False,1592.350480280354,939.6018820904371,0.9732513290669661,2284.736545140903,1314.310352829942,0.9447577395028153,1799.5234489854226
