config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features
5,800,4,1,0.7,20.0,False,1376.8996772819626,825.796242121394,0.979999307024534,-96.61178380563041,2230.4839530954714,1284.3019151575882,0.9473155757178373,-154.08683878956225,15.0
3,1000,4,1,0.5,30.0,False,1010.0121777757433,572.9379327671426,0.9892338808689015,-63.095363808,2247.170054171994,1267.7994813602481,0.9465382803192346,-138.47662273063253,15.0
10,600,2,1,0.7,30.0,False,346.39717653119976,107.0836680048428,0.9987341112025409,-8.768094443206103,2248.597920261377,1303.6247210296278,0.9464574365779876,-103.7554847006669,15.0
7,1000,4,2,0.7,20.0,False,1641.5015041859815,968.4852303150831,0.9715720284077798,-126.52376304289318,2313.2314789456677,1306.3014181701717,0.9433429330484767,-170.7258928336147,15.0
19,1000,2,2,0.7,20.0,False,1641.5015041859815,968.4852303150831,0.9715720284077798,-126.52376304289304,2313.2314789456677,1306.3014181701715,0.9433429330484768,-170.7258928336145,15.0
9,800,4,2,0.7,20.0,False,1641.446426291337,968.802790537034,0.9715734035954318,-126.55303576392797,2313.901837231613,1306.5965944912632,0.9433103996368272,-170.7287438225319,15.0
11,800,2,1,0.5,,False,211.67427876818704,23.76441384172915,0.9995270756625038,-0.9749156163698185,2314.433453268376,1328.4924325500847,0.9433046756140852,-109.56064706531966,15.0
2,800,2,1,sqrt,30.0,False,662.4732174932091,333.5262696980385,0.9953702183904138,-45.90127008259191,2351.585747649363,1305.4634655030713,0.9414745523940684,-166.19314619286024,15.0
15,600,2,2,0.5,,False,1675.4226177914697,961.0407296769372,0.9703863077407893,-155.59897701817994,2369.4259336504165,1312.7421800926904,0.9405778019483216,-201.11291076698416,15.0
6,1000,4,2,0.5,,False,1676.2310579541404,961.1138118229878,0.9703575915445123,-155.74096876751923,2370.5465473529716,1312.9452566244381,0.9405212949380589,-201.3633843531584,15.0
1,1000,2,4,0.7,30.0,False,2009.023874698279,1122.0927234906135,0.9574221188324344,-169.10365662087284,2441.2564832031703,1346.964293764227,0.9369302060313696,-197.02505308185707,15.0
8,600,4,4,0.7,,False,2009.6269855087858,1122.0181509950253,0.9573965119875292,-169.09827648497918,2443.772334718511,1347.5497389071663,0.9367958762357814,-197.31705314562146,15.0
18,1000,2,4,0.7,20.0,False,2073.1962313497747,1172.048685104955,0.954659413205065,-179.70572250095543,2468.8389513495067,1369.825791410689,0.9354970317721507,-206.94394415959542,15.0
16,600,2,4,0.5,,False,2274.5230385372142,1268.125565566101,0.9454287105840673,-253.18494935050276,2615.0190535038973,1434.7617769554272,0.9276572210350164,-277.67355998606985,15.0
17,1000,4,4,0.5,30.0,False,2276.952747778349,1269.1590285911207,0.9453120612193568,-253.70863043221047,2617.2246742969974,1435.3290418610343,0.9275336186703402,-278.76885135841115,15.0
12,600,2,4,0.5,20.0,False,2340.2101751342707,1323.5316980825355,0.9422313396458776,-268.0352589656818,2649.64004848292,1468.88654847117,0.9257496500647551,-291.9548593253783,15.0
4,800,2,1,sqrt,20.0,False,2023.2727008844558,1241.0839702900987,0.9568201384605493,-297.4779713782401,2674.2573412215133,1557.0294087630407,0.9244561699253406,-360.7732053012527,15.0
20,800,4,4,sqrt,,False,3971.4959823194667,2299.6865625022556,0.8335953085792935,-840.6227447878956,4071.441293450909,2344.6281587485655,0.8250035157055265,-848.2204129502943,15.0
13,600,4,4,sqrt,,False,3982.5686049731185,2308.205854136188,0.83267210606328,-842.7052376739041,4082.128850772051,2352.7370791052413,0.8240936579531063,-850.110292421785,15.0
14,600,2,4,sqrt,20.0,False,4040.3196004131205,2367.6572697455636,0.827765782577926,-855.3147729263333,4133.134493247582,2406.5924808249265,0.8196601677118727,-862.2075849986693,15.0
