config_id,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap,rmse_train_mean,mae_train_mean,r2_train_mean,bias_train_mean,rmse_val_mean,mae_val_mean,r2_val_mean,bias_val_mean,avg_features
5,800,4,1,0.7,20.0,False,1271.2220120373145,770.0652199842095,0.9829505452388877,-84.06455931183842,2251.3261742201507,1293.5788894415496,0.946368373620054,-148.67823515655368,16.0
10,600,2,1,0.7,30.0,False,285.6441293318632,80.53542143126501,0.9991390594225908,-6.2281148640041755,2278.3967187448,1315.0477256335607,0.9450659403224322,-109.36425646237284,16.0
3,1000,4,1,0.5,30.0,False,914.5308490486509,519.7073550265715,0.991174817251496,-56.496512179199826,2279.778483463647,1290.8938244653814,0.9450208359989232,-139.0886330220579,16.0
11,800,2,1,0.5,,False,215.14222412859877,23.975927131283626,0.999511571593758,-0.9947339215217653,2324.480705498436,1336.0586220294247,0.9428539606002198,-117.52822275703737,16.0
7,1000,4,2,0.7,20.0,False,1530.7896114869204,903.8494398952885,0.9752752589537529,-110.0360242055701,2325.3202646092186,1311.1025043677155,0.9427792967261607,-161.68130228878132,16.0
19,1000,2,2,0.7,20.0,False,1530.7896114869204,903.8494398952885,0.9752752589537529,-110.03602420557016,2325.3202646092186,1311.1025043677155,0.9427792967261608,-161.6813022887814,16.0
9,800,4,2,0.7,20.0,False,1530.7755496467316,903.779795283642,0.9752757598217222,-110.023351216007,2325.5298786719577,1311.3860842661745,0.9427698758599348,-161.55083598317287,16.0
6,1000,4,2,0.5,,False,1479.550142383133,841.1158275870881,0.9769032024791874,-114.42702617113049,2365.3442441743487,1312.3946161632102,0.9408071950791759,-170.65714895795577,16.0
15,600,2,2,0.5,,False,1479.4002317735467,841.379821092037,0.9769079431022918,-114.48937155969182,2367.683917309579,1313.2347267790371,0.9406914693002106,-170.77057644225812,16.0
2,800,2,1,sqrt,30.0,False,446.3781656314285,197.4385306986335,0.9978982773948366,-21.74269311193524,2393.928610970408,1341.0108333268713,0.9394019321307079,-157.0865377382562,16.0
1,1000,2,4,0.7,30.0,False,1940.4631573510544,1073.2246901727121,0.9602779889146669,-151.4902981311041,2452.536707890469,1350.2276247787204,0.9363660684392816,-183.8690845106655,16.0
8,600,4,4,0.7,,False,1940.971687908849,1073.2451456663675,0.960256886298246,-151.49277809734528,2452.756809917736,1350.490239446112,0.9363526225332112,-183.35739949975746,16.0
18,1000,2,4,0.7,20.0,False,2003.9236527649382,1127.519594936094,0.9576372525749812,-160.07268036267862,2467.4062461150293,1366.1622673622376,0.9355943222294156,-190.67671197844498,16.0
4,800,2,1,sqrt,20.0,False,1541.1238153456152,961.3382179703733,0.9749432110441427,-180.18173052508766,2496.672113487164,1435.6639572685372,0.9341226866830687,-263.43900882978505,16.0
17,1000,4,4,0.5,30.0,False,2106.9651305718353,1165.120816125012,0.9531705186588588,-190.15445696050915,2550.567408099909,1393.4252960904114,0.9311934143258358,-220.17775668072602,16.0
16,600,2,4,0.5,,False,2108.814341188413,1165.3118180920671,0.9530882325211198,-190.2176189589859,2550.6545826753645,1394.1175081114184,0.9311901902009571,-220.2787204321437,16.0
12,600,2,4,0.5,20.0,False,2169.9272286348687,1219.852169840963,0.9503304583293168,-201.95792791411185,2573.9340850128424,1416.7734312426678,0.9299308742613817,-230.68107928207215,16.0
20,800,4,4,sqrt,,False,2898.8680472456963,1617.0832446928853,0.9113583520415466,-462.09971698138486,3127.4509474453716,1723.088673958407,0.8966556210909358,-480.3663878439028,16.0
13,600,4,4,sqrt,,False,2902.1657029597473,1619.8069417236982,0.9111551808957588,-463.4899247081344,3130.765771766224,1725.3766205666604,0.8964352732549863,-481.7362249300385,16.0
14,600,2,4,sqrt,20.0,False,2953.6118283568467,1677.1995189625018,0.9079783489645881,-479.81808072956665,3167.4293770488866,1769.2431203813976,0.8940016011192722,-497.97743148312304,16.0
