2025-12-14 22:15:09,748 - - 10 iterations
2025-12-14 22:16:39,186 - R0_iter600_lr0.113_l20.71_leaf63 | Train MAE: 1121.7041 | Val MAE: 1281.6211 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 600, 'max_depth': None, 'learning_rate': np.float64(0.1131578947368421), 'l2_regularization': np.float64(0.7105263157894737), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:18:05,301 - R1_iter600_lr0.113_l21.45_leaf63 | Train MAE: 1124.6326 | Val MAE: 1284.8873 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.1131578947368421), 'l2_regularization': np.float64(1.4473684210526314), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:19:37,952 - R2_iter1000_lr0.098_l20.92_leaf63 | Train MAE: 1115.9328 | Val MAE: 1278.0040 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(0.9210526315789473), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:21:10,501 - R3_iter1500_lr0.128_l21.97_leaf127 | Train MAE: 1069.8899 | Val MAE: 1269.6305 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 1500, 'max_depth': 20, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(1.9736842105263157), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:22:36,049 - R4_iter800_lr0.143_l22.50_leaf63 | Train MAE: 1084.1533 | Val MAE: 1274.0699 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.14263157894736841), 'l2_regularization': np.float64(2.5), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:24:09,164 - R5_iter800_lr0.084_l21.66_leaf63 | Train MAE: 1141.2111 | Val MAE: 1284.2340 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': None, 'learning_rate': np.float64(0.08368421052631579), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:25:39,622 - R6_iter800_lr0.113_l22.29_leaf63 | Train MAE: 1117.8474 | Val MAE: 1280.1324 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 25, 'learning_rate': np.float64(0.1131578947368421), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:27:03,704 - R7_iter600_lr0.098_l22.29_leaf31 | Train MAE: 1215.2923 | Val MAE: 1318.8687 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 20, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:28:42,906 - R8_iter600_lr0.106_l21.97_leaf127 | Train MAE: 1053.7380 | Val MAE: 1261.9969 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.9736842105263157), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:30:10,248 - R9_iter1500_lr0.102_l20.61_leaf31 | Train MAE: 1208.4689 | Val MAE: 1315.8132 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 1500, 'max_depth': 20, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:31:42,563 - R10_iter1000_lr0.102_l21.66_leaf127 | Train MAE: 1067.0628 | Val MAE: 1264.5261 | AvgSelected: 8.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
