config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_selected_features,avg_total_features,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R7_iter800_lr0.087_l21.24_leaf127,2177.292009895581,1726.908290035004,1272.940690086544,1041.0112396518439,0.9498086677769068,0.9684811052497319,103.73273599323431,87.39940080236421,10.0,25.0,20,127,800,15.0,0.08736842105263158,1.236842105263158,255,42
R5_iter1000_lr0.132_l22.29_leaf127,2187.3049498107357,1761.374142990623,1277.071765334919,1055.9536630978027,0.949351329486614,0.9672456929906849,101.95281893805837,87.53148386866748,10.0,25.0,30,127,1000,,0.13157894736842105,2.289473684210526,255,42
R6_iter1000_lr0.121_l22.39_leaf127,2191.110307189578,1752.768899829934,1278.852151973956,1056.397580806779,0.9491914375520717,0.9675171554134971,106.33525107230474,88.83733705074295,10.0,25.0,20,127,1000,25.0,0.12052631578947368,2.394736842105263,255,42
R9_iter600_lr0.098_l22.29_leaf127,2192.1743185808136,1796.8681905086107,1279.6656336765632,1075.0505256507695,0.9491351606544737,0.9659015930165654,103.85398921026353,89.66802576799981,10.0,25.0,40,127,600,25.0,0.09842105263157895,2.289473684210526,255,42
R3_iter1000_lr0.098_l21.87_leaf127,2198.229608844271,1759.0652756855484,1274.853200516009,1052.338515700245,0.9488456244302752,0.9673062180762764,102.7528266090925,87.89568377645426,10.0,25.0,30,127,1000,,0.09842105263157895,1.8684210526315788,255,42
R1_iter600_lr0.128_l20.61_leaf127,2204.1393641525883,1786.6649018463531,1283.1001819521014,1068.4865360745464,0.9485746779305553,0.9662676135474274,106.23477148878254,88.2129707921643,10.0,25.0,40,127,600,25.0,0.12789473684210526,0.6052631578947368,255,42
R8_iter1000_lr0.121_l21.66_leaf63,2212.4158003375796,1863.1791413895498,1298.0649258441485,1129.1295431921117,0.9482171287873052,0.9633452823500359,104.17547499698387,93.97392705304564,10.0,25.0,30,63,1000,10.0,0.12052631578947368,1.6578947368421053,255,42
R2_iter600_lr0.102_l22.29_leaf31,2214.6602098560456,1955.0260180014882,1315.4446715703152,1191.439421284103,0.9481259670935175,0.9596786128908983,113.72621067435881,104.21527579653667,10.0,25.0,20,31,600,25.0,0.10210526315789473,2.289473684210526,255,42
R4_iter1000_lr0.087_l21.76_leaf31,2224.4741098626264,1947.8690496655186,1315.8821892852482,1187.0895533018418,0.9476628357498014,0.9599609767178738,115.80858222085419,104.43459362502023,10.0,25.0,20,31,1000,,0.08736842105263158,1.763157894736842,255,42
R0_iter600_lr0.106_l21.24_leaf31,2257.9740405331554,2021.7792279340747,1330.5000555801744,1221.232065176042,0.9460311859500901,0.9568533816641493,115.21722925971838,106.55031206763553,10.0,25.0,40,31,600,15.0,0.10578947368421052,1.236842105263158,255,42
