config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_selected_features,avg_total_features,solver,n_iter_no_change,max_iter,learning_rate_init,learning_rate,hidden_layer_sizes,early_stopping,batch_size,activation
CONFIG_9,2863.6291340319394,2703.2574942129713,1662.0098142499792,1616.1105436818557,0.913323073165766,0.9228970093385976,48.88648495852626,47.17888768749494,17.0,25.0,adam,25,900,0.005,adaptive,"(256, 128)",True,128,relu
CONFIG_12,2902.0874415023454,2772.003610491747,1707.292063287845,1666.8238953208547,0.9109650468749202,0.9188312429918957,47.91166024992465,40.16597040958885,17.0,25.0,adam,25,900,0.005,adaptive,"(128, 64)",True,128,relu
CONFIG_3,2927.709592541391,2815.942772238769,1699.3698035932484,1661.7322457521932,0.9094011786124918,0.9163298449459394,255.44137695484346,255.7340903780999,17.0,25.0,adam,25,900,0.005,adaptive,"(256, 128)",True,64,relu
CONFIG_6,2974.3414847385984,2883.5624110595463,1719.8753779534309,1696.1906094875674,0.9065479174114071,0.912235426245401,229.48404546852265,227.0273137815869,17.0,25.0,adam,25,900,0.005,adaptive,"(128, 64)",True,64,relu
CONFIG_11,2976.1857793566896,2889.5697188111844,1738.955367933923,1710.4680517097872,0.9064057197601045,0.9119144145143941,43.92624821665047,38.96140289238883,17.0,25.0,adam,25,900,0.01,adaptive,"(128, 64)",True,128,relu
CONFIG_5,3014.188423299701,2935.684112384203,1743.0388142445245,1718.7374917134298,0.9039605675554807,0.9090366325663772,197.74363026374976,192.22065977537392,17.0,25.0,adam,25,900,0.01,adaptive,"(128, 64)",True,64,relu
CONFIG_2,3021.562509822914,3010.4013570553034,1752.0189177522927,1729.07406995145,0.9035021419344588,0.9042005110726612,165.88687422145298,165.95988569881484,17.0,25.0,adam,25,900,0.01,adaptive,"(256, 128)",True,64,relu
CONFIG_8,3063.3496855453186,2960.980668559195,1760.4533387005881,1727.6833878692548,0.9009020911434916,0.9073853132115923,74.93637796906108,78.30463983081205,17.0,25.0,adam,25,900,0.01,adaptive,"(256, 128)",True,128,relu
CONFIG_10,3214.5311076170497,3145.855002784008,1887.181529099687,1865.8232857586797,0.8908853969101532,0.8955782105397574,76.52232015945692,77.71594519603818,17.0,25.0,adam,25,900,0.05,adaptive,"(128, 64)",True,128,relu
CONFIG_7,3237.975996235757,3199.3489335975146,1906.9986494134348,1895.8381032061764,0.8893432827427749,0.8920109008425958,255.9055903635795,247.50815327855724,17.0,25.0,adam,25,900,0.05,adaptive,"(256, 128)",True,128,relu
CONFIG_1,3382.336157632921,3356.3716019785656,1999.7055554565857,1985.7966713108112,0.8792596609201311,0.8811340318025795,221.99259457525233,218.10171640356597,17.0,25.0,adam,25,900,0.05,adaptive,"(256, 128)",True,64,relu
CONFIG_4,3388.84356936549,3330.7482710531804,1975.2126044418212,1959.2425733176883,0.8788210973683845,0.8829483361648668,149.96220398171258,140.4064434224405,17.0,25.0,adam,25,900,0.05,adaptive,"(128, 64)",True,64,relu
