config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_selected_features,avg_total_features,n_estimators,max_samples,max_features,tree_max_depth,tree_min_samples_leaf,tree_min_samples_split
R6_n400_ms1.0_mf0.8_d20_leaf1_split10,2366.5529804508633,1659.433598142746,1318.1584113072267,915.7894026951993,0.9407000713987363,0.9709513658012698,199.18131109543614,150.91182119417294,17.0,25.0,400,1.0,0.8,20,1,10
R17_n400_ms1.0_mf0.8_d20_leaf1_split10,2366.5529804508633,1659.433598142746,1318.1584113072267,915.7894026951993,0.9407000713987363,0.9709513658012698,199.18131109543614,150.91182119417294,17.0,25.0,400,1.0,0.8,20,1,10
R16_n1000_ms0.5_mf0.9_d20_leaf1_split10,2425.043680300644,1924.492979633508,1341.4808888887387,1057.7027575714765,0.9377440636765279,0.9609320258267164,179.29751490872144,152.45754450909214,17.0,25.0,1000,0.5,0.9,20,1,10
R2_n1000_ms0.5_mf0.9_d20_leaf1_split10,2425.043680300644,1924.492979633508,1341.4808888887387,1057.7027575714765,0.9377440636765279,0.9609320258267164,179.29751490872144,152.45754450909214,17.0,25.0,1000,0.5,0.9,20,1,10
R12_n600_ms1.0_mf0.8_d25_leaf5_split10,2474.4956185703504,1962.126325383977,1355.0770724604265,1045.9054895802171,0.9351818569728811,0.9593878745953376,212.9809194315122,176.85794805047408,17.0,25.0,600,1.0,0.8,25,5,10
R11_n400_ms0.5_mf0.8_d15_leaf1_split10,2499.2979050743934,2089.422789289805,1390.6311925110754,1183.7552156931756,0.9338915065576938,0.9539497488825732,233.1055745773105,203.65241387393885,17.0,25.0,400,0.5,0.8,15,1,10
R30_n1000_ms1.0_mf0.8_d15_leaf1_split30,2540.6334712654725,2178.7780954109517,1406.6875437122167,1230.915929362456,0.9316989126358759,0.9499262155701784,238.20038440407717,211.62692883385026,17.0,25.0,1000,1.0,0.8,15,1,30
R23_n1000_ms1.0_mf0.9_d15_leaf5_split30,2572.460181780598,2254.410535419891,1414.220642603194,1248.9467689395804,0.9299684289864952,0.9463894876609832,198.668002476891,178.45917835303808,17.0,25.0,1000,1.0,0.9,15,5,30
R32_n400_ms1.0_mf0.6_d25_leaf1_split10,2574.2769705201035,1851.734144405146,1419.281639934442,1002.5154044347619,0.9298888580483261,0.9638293656898711,323.468682946496,246.93555492430337,17.0,25.0,400,1.0,0.6,25,1,10
R19_n1000_ms1.0_mf0.6_d20_leaf1_split10,2580.889863818361,1887.8765252361566,1420.8647444662183,1037.3307217325912,0.9295388788755338,0.9624040019506154,333.0840718845492,259.1523628259373,17.0,25.0,1000,1.0,0.6,20,1,10
