2025-12-15 03:33:58,783 - - 35 iterations | 8-fold | FS_KEEP_RATIO=0.7
2025-12-15 03:35:29,850 - R0_iter600_lr0.106_l21.24_leaf31 | VAL_RMSE=2223.664238 | VAL_MAE=1312.866942 | VAL_R2=0.947703 | VAL_BIAS=112.716108 | TRAIN_RMSE=1980.127853 | TRAIN_MAE=1200.990732 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 15, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:37:15,813 - R1_iter600_lr0.128_l20.61_leaf127 | VAL_RMSE=2167.260115 | VAL_MAE=1265.673279 | VAL_R2=0.950243 | VAL_BIAS=100.237287 | TRAIN_RMSE=1736.349769 | TRAIN_MAE=1045.120119 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:38:48,637 - R2_iter600_lr0.102_l22.29_leaf31 | VAL_RMSE=2204.185286 | VAL_MAE=1306.475039 | VAL_R2=0.948625 | VAL_BIAS=115.465544 | TRAIN_RMSE=1934.420602 | TRAIN_MAE=1187.369237 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:40:41,403 - R3_iter1000_lr0.098_l21.87_leaf127 | VAL_RMSE=2162.670933 | VAL_MAE=1262.448176 | VAL_R2=0.950480 | VAL_BIAS=101.363261 | TRAIN_RMSE=1723.241875 | TRAIN_MAE=1036.555604 | SelAvg=18.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(1.8684210526315788), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:42:20,077 - R4_iter1000_lr0.087_l21.76_leaf31 | VAL_RMSE=2188.424858 | VAL_MAE=1297.346717 | VAL_R2=0.949330 | VAL_BIAS=111.917005 | TRAIN_RMSE=1905.596143 | TRAIN_MAE=1165.975901 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.763157894736842), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:44:01,742 - R5_iter1000_lr0.132_l22.29_leaf127 | VAL_RMSE=2161.440351 | VAL_MAE=1260.417202 | VAL_R2=0.950568 | VAL_BIAS=101.239346 | TRAIN_RMSE=1709.005084 | TRAIN_MAE=1028.116552 | SelAvg=18.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.13157894736842105), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:45:51,089 - R6_iter1000_lr0.121_l22.39_leaf127 | VAL_RMSE=2149.486899 | VAL_MAE=1255.365480 | VAL_R2=0.951091 | VAL_BIAS=100.621177 | TRAIN_RMSE=1667.777278 | TRAIN_MAE=1009.710420 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:47:47,765 - R7_iter800_lr0.087_l21.24_leaf127 | VAL_RMSE=2155.285251 | VAL_MAE=1261.287479 | VAL_R2=0.950826 | VAL_BIAS=102.424106 | TRAIN_RMSE=1700.257382 | TRAIN_MAE=1030.907505 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:49:28,268 - R8_iter1000_lr0.121_l21.66_leaf63 | VAL_RMSE=2165.982166 | VAL_MAE=1275.458212 | VAL_R2=0.950367 | VAL_BIAS=102.552505 | TRAIN_RMSE=1789.044181 | TRAIN_MAE=1091.542814 | SelAvg=18.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 10, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:51:25,038 - R9_iter600_lr0.098_l22.29_leaf127 | VAL_RMSE=2155.058949 | VAL_MAE=1261.175673 | VAL_R2=0.950848 | VAL_BIAS=101.439520 | TRAIN_RMSE=1739.197220 | TRAIN_MAE=1042.201055 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:53:05,660 - R10_iter1000_lr0.106_l21.55_leaf63 | VAL_RMSE=2172.363496 | VAL_MAE=1274.338868 | VAL_R2=0.950088 | VAL_BIAS=104.908007 | TRAIN_RMSE=1815.789640 | TRAIN_MAE=1100.853796 | SelAvg=18.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.5526315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:54:56,693 - R11_iter1500_lr0.087_l21.13_leaf63 | VAL_RMSE=2150.540530 | VAL_MAE=1264.492294 | VAL_R2=0.951070 | VAL_BIAS=106.577821 | TRAIN_RMSE=1762.616870 | TRAIN_MAE=1074.902653 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 15, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.131578947368421), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:56:40,634 - R12_iter1500_lr0.095_l21.34_leaf63 | VAL_RMSE=2173.464814 | VAL_MAE=1276.709633 | VAL_R2=0.950003 | VAL_BIAS=107.732629 | TRAIN_RMSE=1850.781315 | TRAIN_MAE=1118.256492 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 20, 'learning_rate': np.float64(0.09473684210526316), 'l2_regularization': np.float64(1.3421052631578947), 'max_bins': 255, 'random_state': 42}
2025-12-15 03:58:23,838 - R13_iter1000_lr0.128_l22.39_leaf127 | VAL_RMSE=2169.269990 | VAL_MAE=1266.924833 | VAL_R2=0.950161 | VAL_BIAS=102.090470 | TRAIN_RMSE=1754.187388 | TRAIN_MAE=1053.971509 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:00:02,484 - R14_iter1500_lr0.084_l20.82_leaf31 | VAL_RMSE=2183.411319 | VAL_MAE=1297.455398 | VAL_R2=0.949569 | VAL_BIAS=112.655512 | TRAIN_RMSE=1904.661364 | TRAIN_MAE=1167.401149 | SelAvg=18.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.08368421052631579), 'l2_regularization': np.float64(0.8157894736842105), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:01:38,107 - R15_iter600_lr0.124_l22.50_leaf63 | VAL_RMSE=2188.552440 | VAL_MAE=1283.863452 | VAL_R2=0.949310 | VAL_BIAS=107.359286 | TRAIN_RMSE=1864.653339 | TRAIN_MAE=1126.415478 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 600, 'max_depth': 20, 'learning_rate': np.float64(0.12421052631578947), 'l2_regularization': np.float64(2.5), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:03:06,810 - R16_iter600_lr0.109_l21.55_leaf31 | VAL_RMSE=2233.757155 | VAL_MAE=1315.011335 | VAL_R2=0.947203 | VAL_BIAS=111.683288 | TRAIN_RMSE=1980.680525 | TRAIN_MAE=1201.985287 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.1094736842105263), 'l2_regularization': np.float64(1.5526315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:04:42,202 - R17_iter1500_lr0.109_l22.18_leaf31 | VAL_RMSE=2191.649922 | VAL_MAE=1295.363213 | VAL_R2=0.949187 | VAL_BIAS=107.967909 | TRAIN_RMSE=1915.275874 | TRAIN_MAE=1167.456769 | SelAvg=18.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.1094736842105263), 'l2_regularization': np.float64(2.1842105263157894), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:06:14,382 - R18_iter800_lr0.121_l21.03_leaf63 | VAL_RMSE=2206.899619 | VAL_MAE=1297.542569 | VAL_R2=0.948465 | VAL_BIAS=105.560195 | TRAIN_RMSE=1905.098580 | TRAIN_MAE=1155.723666 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 10, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(1.026315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:07:45,515 - R19_iter600_lr0.113_l21.24_leaf31 | VAL_RMSE=2193.905549 | VAL_MAE=1299.972751 | VAL_R2=0.949106 | VAL_BIAS=107.958642 | TRAIN_RMSE=1932.186041 | TRAIN_MAE=1177.095550 | SelAvg=18.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 15, 'learning_rate': np.float64(0.1131578947368421), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:09:16,754 - R20_iter600_lr0.087_l22.29_leaf31 | VAL_RMSE=2234.810873 | VAL_MAE=1320.246196 | VAL_R2=0.947176 | VAL_BIAS=116.357352 | TRAIN_RMSE=2014.292814 | TRAIN_MAE=1219.981157 | SelAvg=18.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 20, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
