config,val_mae_mean,train_mae_mean,avg_selected_features,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R8_iter600_lr0.106_l21.97_leaf127,1261.9968656449869,1053.7379917896797,8.0,20,127,600,25.0,0.10578947368421052,1.9736842105263157,255,42
R10_iter1000_lr0.102_l21.66_leaf127,1264.5260633389498,1067.062828552192,8.0,30,127,1000,,0.10210526315789473,1.6578947368421053,255,42
R3_iter1500_lr0.128_l21.97_leaf127,1269.6305061082153,1069.8898997222611,8.0,40,127,1500,20.0,0.12789473684210526,1.9736842105263157,255,42
R4_iter800_lr0.143_l22.50_leaf63,1274.0699302762844,1084.1533118236862,8.0,20,63,800,15.0,0.14263157894736841,2.5,255,42
R2_iter1000_lr0.098_l20.92_leaf63,1278.0039566960938,1115.93282990056,8.0,40,63,1000,25.0,0.09842105263157895,0.9210526315789473,255,42
R6_iter800_lr0.113_l22.29_leaf63,1280.132361997783,1117.8473709995017,8.0,30,63,800,25.0,0.1131578947368421,2.289473684210526,255,42
R0_iter600_lr0.113_l20.71_leaf63,1281.6210516783485,1121.7040776671624,8.0,30,63,600,,0.1131578947368421,0.7105263157894737,255,42
R5_iter800_lr0.084_l21.66_leaf63,1284.2339820173058,1141.211146076064,8.0,40,63,800,,0.08368421052631579,1.6578947368421053,255,42
R11_iter600_lr0.150_l21.45_leaf63,1284.772897138213,1122.6195953746133,8.0,30,63,600,,0.15,1.4473684210526314,255,42
R1_iter600_lr0.113_l21.45_leaf63,1284.8873347847211,1124.6326043415825,8.0,30,63,600,25.0,0.1131578947368421,1.4473684210526314,255,42
R13_iter800_lr0.087_l20.61_leaf63,1285.28220275375,1135.6546220450991,8.0,30,63,800,20.0,0.08736842105263158,0.6052631578947368,255,42
R12_iter800_lr0.102_l21.34_leaf127,1296.675969593302,1151.3129583943876,8.0,30,127,800,10.0,0.10210526315789473,1.3421052631578947,255,42
R9_iter1500_lr0.102_l20.61_leaf31,1315.8131501026753,1208.4689230302781,8.0,40,31,1500,20.0,0.10210526315789473,0.6052631578947368,255,42
R14_iter800_lr0.084_l21.24_leaf31,1317.394736883014,1207.3834463648045,8.0,20,31,800,10.0,0.08368421052631579,1.236842105263158,255,42
R7_iter600_lr0.098_l22.29_leaf31,1318.868745986635,1215.292345636905,8.0,30,31,600,20.0,0.09842105263157895,2.289473684210526,255,42
