2025-12-14 21:53:00,859 - - 10 iterations
2025-12-14 21:54:28,476 - R0_iter800_lr0.150_l22.29_leaf127 | Train MAE: 1063.3822 | Val MAE: 1282.8101 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 25, 'learning_rate': np.float64(0.15), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-14 21:55:52,081 - R1_iter1000_lr0.146_l21.24_leaf63 | Train MAE: 1101.3368 | Val MAE: 1292.4317 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.1463157894736842), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-14 21:57:23,021 - R2_iter1000_lr0.106_l21.24_leaf127 | Train MAE: 1053.4765 | Val MAE: 1275.6826 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-14 21:58:56,445 - R3_iter800_lr0.080_l22.50_leaf63 | Train MAE: 1133.9078 | Val MAE: 1296.4923 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.08), 'l2_regularization': np.float64(2.5), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:00:23,434 - R4_iter1500_lr0.128_l21.34_leaf63 | Train MAE: 1130.6699 | Val MAE: 1297.4968 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(1.3421052631578947), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:01:58,036 - R5_iter1500_lr0.113_l21.55_leaf31 | Train MAE: 1184.2870 | Val MAE: 1315.5647 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.1131578947368421), 'l2_regularization': np.float64(1.5526315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:03:34,507 - R6_iter600_lr0.098_l22.29_leaf63 | Train MAE: 1142.0414 | Val MAE: 1297.3289 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 600, 'max_depth': None, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:05:14,987 - R7_iter800_lr0.080_l21.34_leaf127 | Train MAE: 1076.5401 | Val MAE: 1279.6883 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 25, 'learning_rate': np.float64(0.08), 'l2_regularization': np.float64(1.3421052631578947), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:06:50,708 - R8_iter1500_lr0.080_l21.87_leaf63 | Train MAE: 1120.5138 | Val MAE: 1292.1027 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 10, 'learning_rate': np.float64(0.08), 'l2_regularization': np.float64(1.8684210526315788), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:08:12,810 - R9_iter800_lr0.150_l21.76_leaf31 | Train MAE: 1169.6702 | Val MAE: 1314.2898 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 800, 'max_depth': None, 'learning_rate': np.float64(0.15), 'l2_regularization': np.float64(1.763157894736842), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:09:35,514 - R10_iter600_lr0.117_l21.03_leaf31 | Train MAE: 1175.6455 | Val MAE: 1315.0298 | AvgSelected: 10.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 20, 'learning_rate': np.float64(0.11684210526315789), 'l2_regularization': np.float64(1.026315789473684), 'max_bins': 255, 'random_state': 42}
