2025-12-14 22:48:23,062 - - 15 iterations
2025-12-14 22:49:48,827 - R0_iter600_lr0.106_l22.50_leaf31 | VAL RMSE: 2229.9218 | VAL MAE: 1320.8996 | VAL R2: 0.947430 | VAL Bias: 114.3329 | TRAIN RMSE: 1956.9091 | TRAIN MAE: 1193.9038 | TRAIN R2: 0.959586 | TRAIN Bias: 103.8641 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 15, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(2.5), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:51:17,869 - R1_iter1500_lr0.109_l20.61_leaf127 | VAL RMSE: 2199.1914 | VAL MAE: 1283.3934 | VAL R2: 0.948817 | VAL Bias: 103.1028 | TRAIN RMSE: 1783.5106 | TRAIN MAE: 1073.8422 | TRAIN R2: 0.966413 | TRAIN Bias: 89.0856 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1500, 'max_depth': 15, 'learning_rate': np.float64(0.1094736842105263), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:53:06,814 - R2_iter1500_lr0.102_l21.13_leaf127 | VAL RMSE: 2194.7642 | VAL MAE: 1277.6058 | VAL R2: 0.948989 | VAL Bias: 103.2123 | TRAIN RMSE: 1756.5199 | TRAIN MAE: 1052.7975 | TRAIN R2: 0.967429 | TRAIN Bias: 87.8795 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(1.131578947368421), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:54:31,623 - R3_iter800_lr0.117_l21.76_leaf63 | VAL RMSE: 2233.3340 | VAL MAE: 1308.6734 | VAL R2: 0.947223 | VAL Bias: 106.6906 | TRAIN RMSE: 1892.5791 | TRAIN MAE: 1149.3616 | TRAIN R2: 0.962158 | TRAIN Bias: 96.4495 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 10, 'learning_rate': np.float64(0.11684210526315789), 'l2_regularization': np.float64(1.763157894736842), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:56:05,681 - R4_iter600_lr0.132_l20.50_leaf127 | VAL RMSE: 2182.7137 | VAL MAE: 1285.2367 | VAL R2: 0.949604 | VAL Bias: 101.3824 | TRAIN RMSE: 1752.1771 | TRAIN MAE: 1063.9013 | TRAIN R2: 0.967527 | TRAIN Bias: 86.8739 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 10, 'learning_rate': np.float64(0.13157894736842105), 'l2_regularization': np.float64(0.5), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:57:40,063 - R5_iter1000_lr0.106_l20.50_leaf31 | VAL RMSE: 2236.3948 | VAL MAE: 1319.7891 | VAL R2: 0.947137 | VAL Bias: 110.1271 | TRAIN RMSE: 1968.0817 | TRAIN MAE: 1193.9533 | TRAIN R2: 0.959090 | TRAIN Bias: 102.4170 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 1000, 'max_depth': 15, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(0.5), 'max_bins': 255, 'random_state': 42}
2025-12-14 22:59:23,038 - R6_iter1000_lr0.117_l22.39_leaf127 | VAL RMSE: 2177.0420 | VAL MAE: 1270.5353 | VAL R2: 0.949833 | VAL Bias: 100.9700 | TRAIN RMSE: 1684.8084 | TRAIN MAE: 1014.9140 | TRAIN R2: 0.970015 | TRAIN Bias: 84.0948 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.11684210526315789), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
2025-12-14 23:01:04,672 - R7_iter800_lr0.128_l21.97_leaf63 | VAL RMSE: 2212.9897 | VAL MAE: 1300.7622 | VAL R2: 0.948213 | VAL Bias: 104.6103 | TRAIN RMSE: 1870.9025 | TRAIN MAE: 1134.6210 | TRAIN R2: 0.963038 | TRAIN Bias: 94.3338 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 10, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(1.9736842105263157), 'max_bins': 255, 'random_state': 42}
2025-12-14 23:02:44,591 - R8_iter1500_lr0.113_l22.08_leaf127 | VAL RMSE: 2213.3414 | VAL MAE: 1289.5902 | VAL R2: 0.948142 | VAL Bias: 104.7251 | TRAIN RMSE: 1829.9310 | TRAIN MAE: 1098.4507 | TRAIN R2: 0.964586 | TRAIN Bias: 92.4038 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1500, 'max_depth': 20, 'learning_rate': np.float64(0.1131578947368421), 'l2_regularization': np.float64(2.0789473684210527), 'max_bins': 255, 'random_state': 42}
2025-12-14 23:04:20,970 - R9_iter800_lr0.146_l20.82_leaf127 | VAL RMSE: 2188.3723 | VAL MAE: 1279.4959 | VAL R2: 0.949323 | VAL Bias: 101.6610 | TRAIN RMSE: 1731.3907 | TRAIN MAE: 1045.0329 | TRAIN R2: 0.968333 | TRAIN Bias: 86.8840 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 25, 'learning_rate': np.float64(0.1463157894736842), 'l2_regularization': np.float64(0.8157894736842105), 'max_bins': 255, 'random_state': 42}
2025-12-14 23:05:51,332 - R10_iter1500_lr0.098_l21.66_leaf63 | VAL RMSE: 2249.5577 | VAL MAE: 1320.7393 | VAL R2: 0.946473 | VAL Bias: 112.4502 | TRAIN RMSE: 1958.4195 | TRAIN MAE: 1185.5162 | TRAIN R2: 0.959469 | TRAIN Bias: 100.6451 | AvgSelected: 13.0 | Params: {'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 10, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
