2025-12-15 02:11:10,792 - - 15 iterations | 8-fold | FS_KEEP_RATIO=0.55
2025-12-15 02:12:44,542 - R0_iter600_lr0.106_l21.24_leaf31 | VAL_RMSE=2219.563815 | VAL_MAE=1309.519654 | VAL_R2=0.947882 | VAL_BIAS=109.291614 | TRAIN_RMSE=1953.346718 | TRAIN_MAE=1187.444846 | SelAvg=14.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 15, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:14:27,935 - R1_iter600_lr0.128_l20.61_leaf127 | VAL_RMSE=2167.661884 | VAL_MAE=1267.352962 | VAL_R2=0.950265 | VAL_BIAS=100.529415 | TRAIN_RMSE=1721.915348 | TRAIN_MAE=1035.579412 | SelAvg=14.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:15:58,033 - R2_iter600_lr0.102_l22.29_leaf31 | VAL_RMSE=2196.760163 | VAL_MAE=1303.943405 | VAL_R2=0.948978 | VAL_BIAS=113.151309 | TRAIN_RMSE=1924.565834 | TRAIN_MAE=1178.135765 | SelAvg=14.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:17:42,759 - R3_iter1000_lr0.098_l21.87_leaf127 | VAL_RMSE=2164.193733 | VAL_MAE=1262.951652 | VAL_R2=0.950384 | VAL_BIAS=101.061402 | TRAIN_RMSE=1728.942062 | TRAIN_MAE=1039.943460 | SelAvg=14.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(1.8684210526315788), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:19:28,689 - R4_iter1000_lr0.087_l21.76_leaf31 | VAL_RMSE=2192.545753 | VAL_MAE=1297.498408 | VAL_R2=0.949153 | VAL_BIAS=113.391879 | TRAIN_RMSE=1902.150714 | TRAIN_MAE=1166.311021 | SelAvg=14.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.763157894736842), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:21:12,449 - R5_iter1000_lr0.132_l22.29_leaf127 | VAL_RMSE=2187.854877 | VAL_MAE=1275.627029 | VAL_R2=0.949353 | VAL_BIAS=105.780088 | TRAIN_RMSE=1785.575708 | TRAIN_MAE=1072.364017 | SelAvg=14.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.13157894736842105), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:22:51,613 - R6_iter1000_lr0.121_l22.39_leaf127 | VAL_RMSE=2159.622579 | VAL_MAE=1260.554789 | VAL_R2=0.950622 | VAL_BIAS=103.471887 | TRAIN_RMSE=1685.179691 | TRAIN_MAE=1018.994109 | SelAvg=14.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:24:34,835 - R7_iter800_lr0.087_l21.24_leaf127 | VAL_RMSE=2154.902358 | VAL_MAE=1256.957791 | VAL_R2=0.950859 | VAL_BIAS=99.447667 | TRAIN_RMSE=1673.192097 | TRAIN_MAE=1015.103702 | SelAvg=14.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:25:59,425 - R8_iter1000_lr0.121_l21.66_leaf63 | VAL_RMSE=2192.123463 | VAL_MAE=1289.755799 | VAL_R2=0.949141 | VAL_BIAS=106.248651 | TRAIN_RMSE=1848.566275 | TRAIN_MAE=1124.057610 | SelAvg=14.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 10, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:27:32,065 - R9_iter600_lr0.098_l22.29_leaf127 | VAL_RMSE=2172.458686 | VAL_MAE=1266.339341 | VAL_R2=0.950045 | VAL_BIAS=102.339338 | TRAIN_RMSE=1759.475099 | TRAIN_MAE=1055.975516 | SelAvg=14.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:28:58,929 - R10_iter1000_lr0.106_l21.55_leaf63 | VAL_RMSE=2179.073842 | VAL_MAE=1276.644476 | VAL_R2=0.949751 | VAL_BIAS=104.741316 | TRAIN_RMSE=1814.459859 | TRAIN_MAE=1101.510282 | SelAvg=14.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.5526315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:30:37,738 - R11_iter1500_lr0.087_l21.13_leaf63 | VAL_RMSE=2159.877458 | VAL_MAE=1270.563164 | VAL_R2=0.950604 | VAL_BIAS=104.728028 | TRAIN_RMSE=1791.007263 | TRAIN_MAE=1090.111985 | SelAvg=14.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 15, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.131578947368421), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:32:05,087 - R12_iter1500_lr0.095_l21.34_leaf63 | VAL_RMSE=2190.069937 | VAL_MAE=1283.429785 | VAL_R2=0.949267 | VAL_BIAS=108.841614 | TRAIN_RMSE=1865.625172 | TRAIN_MAE=1127.053595 | SelAvg=14.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 1500, 'max_depth': 20, 'learning_rate': np.float64(0.09473684210526316), 'l2_regularization': np.float64(1.3421052631578947), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:33:32,593 - R13_iter1000_lr0.128_l22.39_leaf127 | VAL_RMSE=2185.043123 | VAL_MAE=1273.531407 | VAL_R2=0.949441 | VAL_BIAS=104.361753 | TRAIN_RMSE=1752.938512 | TRAIN_MAE=1053.201412 | SelAvg=14.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
2025-12-15 02:34:59,562 - R14_iter1500_lr0.084_l20.82_leaf31 | VAL_RMSE=2193.473342 | VAL_MAE=1301.739746 | VAL_R2=0.949077 | VAL_BIAS=114.383948 | TRAIN_RMSE=1907.364869 | TRAIN_MAE=1169.436478 | SelAvg=14.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 1500, 'max_depth': None, 'learning_rate': np.float64(0.08368421052631579), 'l2_regularization': np.float64(0.8157894736842105), 'max_bins': 255, 'random_state': 42}
