2025-12-15 04:32:05,812 - - 35 iterations | 8-fold | FS_KEEP_RATIO=0.65
2025-12-15 04:33:36,539 - R0_iter600_lr0.106_l21.24_leaf31 | VAL_RMSE=2216.699649 | VAL_MAE=1308.672944 | VAL_R2=0.947994 | VAL_BIAS=111.376287 | TRAIN_RMSE=1964.325321 | TRAIN_MAE=1193.492378 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 15, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:35:17,060 - R1_iter600_lr0.128_l20.61_leaf127 | VAL_RMSE=2164.811904 | VAL_MAE=1268.102162 | VAL_R2=0.950376 | VAL_BIAS=101.889555 | TRAIN_RMSE=1761.153552 | TRAIN_MAE=1056.443370 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.12789473684210526), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:36:47,912 - R2_iter600_lr0.102_l22.29_leaf31 | VAL_RMSE=2198.127493 | VAL_MAE=1305.983974 | VAL_R2=0.948946 | VAL_BIAS=112.533766 | TRAIN_RMSE=1928.865274 | TRAIN_MAE=1182.317026 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:38:39,307 - R3_iter1000_lr0.098_l21.87_leaf127 | VAL_RMSE=2171.266006 | VAL_MAE=1264.670716 | VAL_R2=0.950090 | VAL_BIAS=103.942271 | TRAIN_RMSE=1738.482208 | TRAIN_MAE=1048.335679 | SelAvg=17.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(1.8684210526315788), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:40:35,439 - R4_iter1000_lr0.087_l21.76_leaf31 | VAL_RMSE=2183.811526 | VAL_MAE=1294.705046 | VAL_R2=0.949582 | VAL_BIAS=111.874704 | TRAIN_RMSE=1898.850306 | TRAIN_MAE=1164.185176 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.763157894736842), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:42:38,012 - R5_iter1000_lr0.132_l22.29_leaf127 | VAL_RMSE=2164.863203 | VAL_MAE=1265.272584 | VAL_R2=0.950386 | VAL_BIAS=103.267536 | TRAIN_RMSE=1728.950756 | TRAIN_MAE=1042.026496 | SelAvg=17.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.13157894736842105), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:44:52,707 - R6_iter1000_lr0.121_l22.39_leaf127 | VAL_RMSE=2138.946463 | VAL_MAE=1254.963079 | VAL_R2=0.951583 | VAL_BIAS=103.213963 | TRAIN_RMSE=1656.389980 | TRAIN_MAE=1000.731919 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:47:21,884 - R7_iter800_lr0.087_l21.24_leaf127 | VAL_RMSE=2146.293246 | VAL_MAE=1255.629198 | VAL_R2=0.951206 | VAL_BIAS=102.687599 | TRAIN_RMSE=1682.127425 | TRAIN_MAE=1019.793927 | SelAvg=17.000 | Params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:49:18,165 - R8_iter1000_lr0.121_l21.66_leaf63 | VAL_RMSE=2157.920751 | VAL_MAE=1277.729013 | VAL_R2=0.950724 | VAL_BIAS=101.917490 | TRAIN_RMSE=1806.662760 | TRAIN_MAE=1101.812486 | SelAvg=17.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 10, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:51:38,088 - R9_iter600_lr0.098_l22.29_leaf127 | VAL_RMSE=2160.865464 | VAL_MAE=1263.816194 | VAL_R2=0.950583 | VAL_BIAS=104.621739 | TRAIN_RMSE=1753.936585 | TRAIN_MAE=1053.095915 | SelAvg=17.000 | Params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-15 04:53:38,805 - R10_iter1000_lr0.106_l21.55_leaf63 | VAL_RMSE=2184.395586 | VAL_MAE=1278.669302 | VAL_R2=0.949488 | VAL_BIAS=106.778662 | TRAIN_RMSE=1807.225107 | TRAIN_MAE=1096.548178 | SelAvg=17.000 | Params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 25, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.5526315789473684), 'max_bins': 255, 'random_state': 42}
