config,val_rmse_mean,train_rmse_mean,val_mae_mean,train_mae_mean,val_r2_mean,train_r2_mean,val_bias_mean,train_bias_mean,avg_features,n_estimators,max_samples,max_features,tree_max_depth,tree_min_samples_leaf,tree_min_samples_split
R6_n400_ms1.0_mf0.8_d20_leaf1_split10,2347.54553834308,1637.208393804705,1313.1422528466574,906.4963663496789,0.9416316587139845,0.9717230971638507,195.07630912115087,146.4200012524306,25.0,400,1.0,0.8,20,1,10
R2_n1000_ms0.5_mf0.9_d20_leaf1_split10,2414.714660262557,1919.1528127519716,1341.077636294032,1055.9901291641277,0.938268412514819,0.9611481543395491,183.46574985378953,154.93883416744183,25.0,1000,0.5,0.9,20,1,10
R5_n600_ms0.5_mf0.8_d25_leaf5_split10,2581.932107763996,2223.987767253217,1400.9048762486623,1187.074664211399,0.9294315937392543,0.9478273259880311,233.73002260587813,207.0864241074433,25.0,600,0.5,0.8,25,5,10
R0_n1000_ms0.5_mf0.6_d25_leaf5_split10,2745.5586504396038,2412.7824024301617,1493.0718401514255,1295.067829736256,0.92024650582694,0.9385939633328733,363.74539248245264,326.99658410324116,25.0,1000,0.5,0.6,25,5,10
R7_n600_ms0.5_mf0.6_d20_leaf1_split30,2770.0628599319616,2503.764706088302,1519.9241455626643,1379.961684609932,0.9188346100826335,0.933874362294068,382.86615602116206,352.4699965550727,25.0,600,0.5,0.6,20,1,30
R8_n600_ms1.0_mf0.6_d25_leaf5_split50,2800.1880600301124,2562.196385314378,1528.2451937156643,1398.6800027429508,0.9170634211610892,0.9307521414740819,385.270488861398,357.61030445071856,25.0,600,1.0,0.6,25,5,50
R9_n400_ms1.0_mf0.6_d25_leaf5_split50,2807.316247108014,2567.4933786651554,1533.858439103033,1402.878812117007,0.9166416930220087,0.9304658959627072,386.97762314442423,358.7879441226527,25.0,400,1.0,0.6,25,5,50
R4_n1000_ms0.5_mf0.9_d25_leaf10_split50,2871.0109370806067,2718.249675768669,1536.4750952973804,1449.03217987706,0.9128294665606047,0.9220613122516219,246.796809039262,234.83656003917395,25.0,1000,0.5,0.9,25,10,50
R1_n400_ms0.5_mf0.9_d15_leaf10_split50,2874.8188240528516,2727.016869022893,1541.1575588848257,1457.1868989281686,0.9126014730675663,0.9215573599700468,248.74062430780197,237.39543477448055,25.0,400,0.5,0.9,15,10,50
R3_n400_ms0.5_mf0.6_d25_leaf10_split10,2934.1706299992816,2733.8682106591596,1573.7644742926818,1453.637079800729,0.9089538000815894,0.9211630461628173,401.85260090264194,377.5043547052341,25.0,400,0.5,0.6,25,10,10
