config,fs_keep_ratio,avg_selected_features,train_rmse_mean,val_rmse_mean,train_mae_mean,val_mae_mean,train_r2_mean,val_r2_mean,train_bias_mean,val_bias_mean,min_samples_leaf,max_leaf_nodes,max_iter,max_depth,learning_rate,l2_regularization,max_bins,random_state
R36_iter1000_lr0.117_l22.29_leaf127_fs80,0.8,20.0,1740.475316250969,2155.230434221926,1048.053647275104,1264.5850161394922,0.9680139264581881,0.9508223168965155,-84.46170429116981,-100.59317998268244,40,127,1000,20.0,0.11684210526315789,2.289473684210526,255,42
R26_iter600_lr0.117_l21.13_leaf127_fs70,0.7,18.0,1711.257857403777,2158.357424125379,1030.0602864603072,1262.9857140632976,0.969059606814427,0.9506732437574434,-83.67512906351631,-100.63951302740642,30,127,600,,0.11684210526315789,1.131578947368421,255,42
R22_iter800_lr0.146_l21.24_leaf63_fs70,0.7,18.0,1776.955212185926,2158.9139578531576,1085.6702156525425,1277.9743679363078,0.9666233143263083,0.9507262745541403,-89.09642926542571,-103.7422621637504,20,63,800,15.0,0.1463157894736842,1.236842105263158,255,42
R37_iter600_lr0.087_l22.50_leaf127_fs60,0.6,15.0,1756.6164324408444,2159.7584371910775,1053.866583885874,1263.2917493062464,0.9673956553844913,0.9506476661286694,-86.91437247800363,-102.87848996856002,40,127,600,,0.08736842105263158,2.5,255,42
R39_iter1000_lr0.080_l21.55_leaf127_fs70,0.7,18.0,1745.5547838076727,2161.625395332166,1048.6518805672906,1261.3720406324896,0.9678441186646242,0.9505306884989764,-86.6763248177996,-104.68140731065705,30,127,1000,,0.08,1.5526315789473684,255,42
R23_iter800_lr0.146_l20.71_leaf127_fs80,0.8,20.0,1705.303652967743,2166.5461939229963,1034.2983093934167,1266.3087574546666,0.9692962694537658,0.9503021742444333,-83.93846691182199,-102.7773195452674,20,127,800,,0.1463157894736842,0.7105263157894737,255,42
R25_iter600_lr0.102_l22.18_leaf127_fs70,0.7,18.0,1769.564907029863,2167.124011055199,1070.2834950070337,1270.6820100383118,0.966901917373082,0.950309942442169,-87.52957958291393,-102.45207048476934,30,127,600,15.0,0.10210526315789473,2.1842105263157894,255,42
R34_iter800_lr0.084_l21.24_leaf63_fs60,0.6,15.0,1810.406032830047,2168.3255736094834,1106.1374015976376,1278.0793217006285,0.9653691503585282,0.9502293602271455,-93.78290579188668,-106.18736319562146,20,63,800,15.0,0.08368421052631579,1.236842105263158,255,42
R32_iter800_lr0.139_l22.29_leaf63_fs30,0.3,8.0,1819.6053397887895,2168.9359341571126,1107.8116390962896,1281.2352994951718,0.9649952058978988,0.9502186722820927,-91.01050799937596,-100.33556994605544,20,63,800,20.0,0.13894736842105262,2.289473684210526,255,42
R29_iter600_lr0.124_l21.24_leaf63_fs70,0.7,18.0,1790.9555979582601,2171.975363895221,1093.1011980589842,1276.9783569480142,0.9661377649862259,0.9500807235440959,-90.28631654483412,-102.15594758070247,20,63,600,15.0,0.12421052631578947,1.236842105263158,255,42
R13_iter1000_lr0.087_l21.97_leaf63_fs70,0.7,18.0,1800.3481391923137,2175.4690235898856,1091.8789658408905,1272.3138286032129,0.965734310446231,0.9498813965127382,-91.21185964787895,-104.35656968557728,30,63,1000,,0.08736842105263158,1.9736842105263157,255,42
R0_iter800_lr0.135_l21.13_leaf63_fs80,0.8,20.0,1835.6270045114236,2177.797330582241,1116.58740787968,1283.9617880262163,0.964401693679743,0.9498460105194012,-91.38341748936816,-103.10502525217305,40,63,800,15.0,0.13526315789473684,1.131578947368421,255,42
R10_iter1000_lr0.143_l21.55_leaf63_fs30,0.3,8.0,1823.0488217082811,2177.9370133762377,1110.838737803777,1282.13555425643,0.9648677536981287,0.9497619844207738,-91.09926489844713,-101.8631315358926,20,63,1000,20.0,0.14263157894736841,1.5526315789473684,255,42
R1_iter800_lr0.121_l20.92_leaf127_fs40,0.4,10.0,1718.1426351003915,2180.01783296389,1037.3281445106568,1277.78344171637,0.9687798494808396,0.9496791354922997,-85.89876447489127,-103.8091592187505,20,127,800,15.0,0.12052631578947368,0.9210526315789473,255,42
R31_iter800_lr0.095_l22.08_leaf63_fs80,0.8,20.0,1835.0522719852625,2182.2911201644215,1112.602808975003,1277.4553697351603,0.964441304690024,0.9495888979428365,-92.91537159604788,-106.60836121705427,30,63,800,25.0,0.09473684210526316,2.0789473684210527,255,42
R17_iter1000_lr0.106_l21.97_leaf31_fs70,0.7,18.0,1903.2381550853768,2184.358407988867,1160.3498857095146,1294.313918913616,0.9617573357280633,0.9495379672518858,-97.90082551375014,-107.8912453640167,30,31,1000,15.0,0.10578947368421052,1.9736842105263157,255,42
R5_iter1000_lr0.124_l20.61_leaf63_fs30,0.3,8.0,1841.3342168555714,2187.7644734797987,1117.2380355777673,1281.641422210934,0.9641305974702945,0.9493748888161007,-91.85805461941857,-104.39751306369129,30,63,1000,15.0,0.12421052631578947,0.6052631578947368,255,42
R14_iter600_lr0.146_l22.39_leaf63_fs30,0.3,8.0,1851.8247571897004,2188.5676339710617,1122.3444153614591,1283.472633240127,0.9637719076785036,0.9492724823011829,-91.93088955428355,-102.91107958452778,30,63,600,25.0,0.1463157894736842,2.394736842105263,255,42
R3_iter1000_lr0.135_l22.18_leaf63_fs30,0.3,8.0,1852.4589577762667,2190.034877857977,1118.9188540557393,1282.742907226127,0.9637896601585737,0.9492319879377333,-91.5668500559554,-102.2670032247694,40,63,1000,20.0,0.13526315789473684,2.1842105263157894,255,42
R9_iter1000_lr0.132_l20.92_leaf31_fs60,0.6,15.0,1891.2029871366371,2190.6123278498035,1160.1634188597582,1300.8657310555204,0.9622216088868205,0.9492404887229646,-97.86172029404992,-109.41178220293908,20,31,1000,20.0,0.13157894736842105,0.9210526315789473,255,42
R38_iter1000_lr0.150_l21.03_leaf63_fs80,0.8,20.0,1830.7175662710165,2190.686572818632,1110.4577281653703,1287.2720330291638,0.9645982658209771,0.9492060610614985,-90.55889809851683,-103.33832252760347,40,63,1000,25.0,0.15,1.026315789473684,255,42
R2_iter1000_lr0.146_l21.34_leaf63_fs30,0.3,8.0,1879.0183823886018,2192.430108871895,1135.1186008489553,1287.5596336491315,0.9627206588383606,0.9491284974334284,-92.88908456384439,-101.29042896849029,40,63,1000,20.0,0.1463157894736842,1.3421052631578947,255,42
R4_iter600_lr0.124_l20.61_leaf127_fs40,0.4,10.0,1765.1653189283786,2195.810797511856,1056.882743600007,1281.0786386148134,0.967111117884563,0.9489716890572377,-86.71559803021125,-101.28997092494893,40,127,600,25.0,0.12421052631578947,0.6052631578947368,255,42
R35_iter600_lr0.121_l21.66_leaf127_fs40,0.4,10.0,1784.387472212918,2199.022964051225,1071.1699385041586,1283.1311736786695,0.9663625065073724,0.9488505081969554,-88.90056237870297,-102.79561883402553,30,127,600,20.0,0.12052631578947368,1.6578947368421053,255,42
R30_iter800_lr0.146_l22.18_leaf127_fs50,0.5,13.0,1767.4635320549191,2199.6279333948096,1067.593571736873,1284.7540371194164,0.9669571286869665,0.9488081517337124,-86.64697570220255,-103.516183618005,30,127,800,15.0,0.1463157894736842,2.1842105263157894,255,42
R15_iter800_lr0.102_l21.34_leaf31_fs60,0.6,15.0,1943.390779499333,2200.25703135337,1186.2928087249538,1304.713955195333,0.9601064855173864,0.9488229706584403,-102.08442923154954,-111.23477211646767,30,31,800,15.0,0.10210526315789473,1.3421052631578947,255,42
R11_iter600_lr0.132_l21.34_leaf127_fs50,0.5,13.0,1757.9196272568468,2200.629981171769,1054.0425728312143,1280.0664228561184,0.9673712928946934,0.9487065582800038,-87.1955500952145,-101.94879286257776,30,127,600,25.0,0.13157894736842105,1.3421052631578947,255,42
R27_iter1000_lr0.087_l21.66_leaf127_fs40,0.4,10.0,1816.5339852853413,2201.612768725051,1087.9780722644325,1284.9609330746518,0.9651293716009214,0.948703383313572,-90.66455776411951,-103.15834915112426,40,127,1000,20.0,0.08736842105263158,1.6578947368421053,255,42
