2025-12-14 17:04:02,936 - - 40 configs
2025-12-14 17:05:32,121 - R0_iter800_lr0.135_l21.13_leaf63_fs80 | fs_keep=80% | train rmse=1835.6270 mae=1116.5874 r2=0.964402 bias=-91.3834 | val rmse=2177.7973 mae=1283.9618 r2=0.949846 bias=-103.1050 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.13526315789473684), 'l2_regularization': np.float64(1.131578947368421), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:07:07,916 - R1_iter800_lr0.121_l20.92_leaf127_fs40 | fs_keep=40% | train rmse=1718.1426 mae=1037.3281 r2=0.968780 bias=-85.8988 | val rmse=2180.0178 mae=1277.7834 r2=0.949679 bias=-103.8092 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(0.9210526315789473), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:08:40,402 - R2_iter1000_lr0.146_l21.34_leaf63_fs30 | fs_keep=30% | train rmse=1879.0184 mae=1135.1186 r2=0.962721 bias=-92.8891 | val rmse=2192.4301 mae=1287.5596 r2=0.949128 bias=-101.2904 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.1463157894736842), 'l2_regularization': np.float64(1.3421052631578947), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:10:23,997 - R3_iter1000_lr0.135_l22.18_leaf63_fs30 | fs_keep=30% | train rmse=1852.4590 mae=1118.9189 r2=0.963790 bias=-91.5669 | val rmse=2190.0349 mae=1282.7429 r2=0.949232 bias=-102.2670 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.13526315789473684), 'l2_regularization': np.float64(2.1842105263157894), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:12:08,934 - R4_iter600_lr0.124_l20.61_leaf127_fs40 | fs_keep=40% | train rmse=1765.1653 mae=1056.8827 r2=0.967111 bias=-86.7156 | val rmse=2195.8108 mae=1281.0786 r2=0.948972 bias=-101.2900 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.12421052631578947), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:13:50,422 - R5_iter1000_lr0.124_l20.61_leaf63_fs30 | fs_keep=30% | train rmse=1841.3342 mae=1117.2380 r2=0.964131 bias=-91.8581 | val rmse=2187.7645 mae=1281.6414 r2=0.949375 bias=-104.3975 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 15, 'learning_rate': np.float64(0.12421052631578947), 'l2_regularization': np.float64(0.6052631578947368), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:15:23,577 - R6_iter600_lr0.113_l22.50_leaf63_fs40 | fs_keep=40% | train rmse=1888.0186 mae=1139.3107 r2=0.962345 bias=-96.7132 | val rmse=2212.8860 mae=1299.2652 r2=0.948199 bias=-107.4774 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.1131578947368421), 'l2_regularization': np.float64(2.5), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:16:54,064 - R7_iter600_lr0.139_l20.50_leaf31_fs70 | fs_keep=70% | train rmse=1934.6678 mae=1177.9616 r2=0.960435 bias=-98.3479 | val rmse=2209.7573 mae=1307.7212 r2=0.948334 bias=-106.7029 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': None, 'learning_rate': np.float64(0.13894736842105262), 'l2_regularization': np.float64(0.5), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:18:38,313 - R8_iter1000_lr0.143_l22.08_leaf31_fs30 | fs_keep=30% | train rmse=1959.3832 mae=1197.6461 r2=0.959441 bias=-101.7028 | val rmse=2217.4958 mae=1317.1077 r2=0.947971 bias=-109.0804 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.14263157894736841), 'l2_regularization': np.float64(2.0789473684210527), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:20:18,342 - R9_iter1000_lr0.132_l20.92_leaf31_fs60 | fs_keep=60% | train rmse=1891.2030 mae=1160.1634 r2=0.962222 bias=-97.8617 | val rmse=2190.6123 mae=1300.8657 r2=0.949240 bias=-109.4118 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.13157894736842105), 'l2_regularization': np.float64(0.9210526315789473), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:21:47,855 - R10_iter1000_lr0.143_l21.55_leaf63_fs30 | fs_keep=30% | train rmse=1823.0488 mae=1110.8387 r2=0.964868 bias=-91.0993 | val rmse=2177.9370 mae=1282.1356 r2=0.949762 bias=-101.8631 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.14263157894736841), 'l2_regularization': np.float64(1.5526315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:23:26,852 - R11_iter600_lr0.132_l21.34_leaf127_fs50 | fs_keep=50% | train rmse=1757.9196 mae=1054.0426 r2=0.967371 bias=-87.1956 | val rmse=2200.6300 mae=1280.0664 r2=0.948707 bias=-101.9488 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.13157894736842105), 'l2_regularization': np.float64(1.3421052631578947), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:24:52,691 - R12_iter800_lr0.080_l20.92_leaf31_fs40 | fs_keep=40% | train rmse=2061.3484 mae=1241.2985 r2=0.955136 bias=-109.9453 | val rmse=2275.9333 mae=1341.8050 r2=0.945224 bias=-120.6452 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 800, 'max_depth': 25, 'learning_rate': np.float64(0.08), 'l2_regularization': np.float64(0.9210526315789473), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:26:27,884 - R13_iter1000_lr0.087_l21.97_leaf63_fs70 | fs_keep=70% | train rmse=1800.3481 mae=1091.8790 r2=0.965734 bias=-91.2119 | val rmse=2175.4690 mae=1272.3138 r2=0.949881 bias=-104.3566 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': None, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.9736842105263157), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:27:52,212 - R14_iter600_lr0.146_l22.39_leaf63_fs30 | fs_keep=30% | train rmse=1851.8248 mae=1122.3444 r2=0.963772 bias=-91.9309 | val rmse=2188.5676 mae=1283.4726 r2=0.949272 bias=-102.9111 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.1463157894736842), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:29:24,820 - R15_iter800_lr0.102_l21.34_leaf31_fs60 | fs_keep=60% | train rmse=1943.3908 mae=1186.2928 r2=0.960106 bias=-102.0844 | val rmse=2200.2570 mae=1304.7140 r2=0.948823 bias=-111.2348 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(1.3421052631578947), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:30:58,761 - R16_iter1000_lr0.109_l21.97_leaf63_fs50 | fs_keep=50% | train rmse=1909.3999 mae=1154.4366 r2=0.961445 bias=-97.7224 | val rmse=2240.6449 mae=1308.7263 r2=0.946856 bias=-110.7418 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 1000, 'max_depth': 15, 'learning_rate': np.float64(0.1094736842105263), 'l2_regularization': np.float64(1.9736842105263157), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:32:31,395 - R17_iter1000_lr0.106_l21.97_leaf31_fs70 | fs_keep=70% | train rmse=1903.2382 mae=1160.3499 r2=0.961757 bias=-97.9008 | val rmse=2184.3584 mae=1294.3139 r2=0.949538 bias=-107.8912 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 31, 'max_iter': 1000, 'max_depth': 15, 'learning_rate': np.float64(0.10578947368421052), 'l2_regularization': np.float64(1.9736842105263157), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:33:59,164 - R18_iter600_lr0.109_l20.50_leaf31_fs50 | fs_keep=50% | train rmse=2016.2125 mae=1218.2438 r2=0.957078 bias=-105.9839 | val rmse=2268.6837 mae=1334.0231 r2=0.945604 bias=-116.2324 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': None, 'learning_rate': np.float64(0.1094736842105263), 'l2_regularization': np.float64(0.5), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:35:25,148 - R19_iter800_lr0.117_l20.92_leaf31_fs40 | fs_keep=40% | train rmse=1948.1813 mae=1186.3845 r2=0.959913 bias=-102.4782 | val rmse=2218.8192 mae=1317.4362 r2=0.947941 bias=-112.4029 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 800, 'max_depth': 25, 'learning_rate': np.float64(0.11684210526315789), 'l2_regularization': np.float64(0.9210526315789473), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:36:54,682 - R20_iter800_lr0.121_l22.39_leaf31_fs40 | fs_keep=40% | train rmse=1966.8837 mae=1200.7224 r2=0.959135 bias=-104.3509 | val rmse=2234.9222 mae=1323.9632 r2=0.947115 bias=-114.1180 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 800, 'max_depth': 20, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(2.394736842105263), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:38:23,188 - R21_iter600_lr0.098_l21.55_leaf31_fs40 | fs_keep=40% | train rmse=1980.9934 mae=1206.7003 r2=0.958551 bias=-105.7427 | val rmse=2240.5275 mae=1326.9690 r2=0.946902 bias=-116.7752 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 20, 'learning_rate': np.float64(0.09842105263157895), 'l2_regularization': np.float64(1.5526315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:39:55,122 - R22_iter800_lr0.146_l21.24_leaf63_fs70 | fs_keep=70% | train rmse=1776.9552 mae=1085.6702 r2=0.966623 bias=-89.0964 | val rmse=2158.9140 mae=1277.9744 r2=0.950726 bias=-103.7423 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.1463157894736842), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:41:36,712 - R23_iter800_lr0.146_l20.71_leaf127_fs80 | fs_keep=80% | train rmse=1705.3037 mae=1034.2983 r2=0.969296 bias=-83.9385 | val rmse=2166.5462 mae=1266.3088 r2=0.950302 bias=-102.7773 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': None, 'learning_rate': np.float64(0.1463157894736842), 'l2_regularization': np.float64(0.7105263157894737), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:43:09,864 - R24_iter800_lr0.084_l21.24_leaf31_fs50 | fs_keep=50% | train rmse=1994.4654 mae=1207.1927 r2=0.958000 bias=-104.8264 | val rmse=2250.7933 mae=1324.4990 r2=0.946439 bias=-114.6626 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 31, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.08368421052631579), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:44:43,709 - R25_iter600_lr0.102_l22.18_leaf127_fs70 | fs_keep=70% | train rmse=1769.5649 mae=1070.2835 r2=0.966902 bias=-87.5296 | val rmse=2167.1240 mae=1270.6820 r2=0.950310 bias=-102.4521 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 15, 'learning_rate': np.float64(0.10210526315789473), 'l2_regularization': np.float64(2.1842105263157894), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:46:21,133 - R26_iter600_lr0.117_l21.13_leaf127_fs70 | fs_keep=70% | train rmse=1711.2579 mae=1030.0603 r2=0.969060 bias=-83.6751 | val rmse=2158.3574 mae=1262.9857 r2=0.950673 bias=-100.6395 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': None, 'learning_rate': np.float64(0.11684210526315789), 'l2_regularization': np.float64(1.131578947368421), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:47:58,873 - R27_iter1000_lr0.087_l21.66_leaf127_fs40 | fs_keep=40% | train rmse=1816.5340 mae=1087.9781 r2=0.965129 bias=-90.6646 | val rmse=2201.6128 mae=1284.9609 r2=0.948703 bias=-103.1583 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.08736842105263158), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:49:28,306 - R28_iter600_lr0.080_l21.45_leaf31_fs40 | fs_keep=40% | train rmse=2018.3087 mae=1229.3685 r2=0.957018 bias=-109.4203 | val rmse=2252.9076 mae=1337.0405 r2=0.946326 bias=-117.9437 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 31, 'max_iter': 600, 'max_depth': 25, 'learning_rate': np.float64(0.08), 'l2_regularization': np.float64(1.4473684210526314), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:50:57,970 - R29_iter600_lr0.124_l21.24_leaf63_fs70 | fs_keep=70% | train rmse=1790.9556 mae=1093.1012 r2=0.966138 bias=-90.2863 | val rmse=2171.9754 mae=1276.9784 r2=0.950081 bias=-102.1559 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 600, 'max_depth': 15, 'learning_rate': np.float64(0.12421052631578947), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:52:34,459 - R30_iter800_lr0.146_l22.18_leaf127_fs50 | fs_keep=50% | train rmse=1767.4635 mae=1067.5936 r2=0.966957 bias=-86.6470 | val rmse=2199.6279 mae=1284.7540 r2=0.948808 bias=-103.5162 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.1463157894736842), 'l2_regularization': np.float64(2.1842105263157894), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:54:07,102 - R31_iter800_lr0.095_l22.08_leaf63_fs80 | fs_keep=80% | train rmse=1835.0523 mae=1112.6028 r2=0.964441 bias=-92.9154 | val rmse=2182.2911 mae=1277.4554 r2=0.949589 bias=-106.6084 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 25, 'learning_rate': np.float64(0.09473684210526316), 'l2_regularization': np.float64(2.0789473684210527), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:55:30,134 - R32_iter800_lr0.139_l22.29_leaf63_fs30 | fs_keep=30% | train rmse=1819.6053 mae=1107.8116 r2=0.964995 bias=-91.0105 | val rmse=2168.9359 mae=1281.2353 r2=0.950219 bias=-100.3356 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 20, 'learning_rate': np.float64(0.13894736842105262), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:56:54,707 - R33_iter800_lr0.132_l21.55_leaf63_fs40 | fs_keep=40% | train rmse=1869.1710 mae=1129.5347 r2=0.963068 bias=-94.1512 | val rmse=2221.5291 mae=1300.2027 r2=0.947801 bias=-107.2575 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.13157894736842105), 'l2_regularization': np.float64(1.5526315789473684), 'max_bins': 255, 'random_state': 42}
2025-12-14 17:58:30,959 - R34_iter800_lr0.084_l21.24_leaf63_fs60 | fs_keep=60% | train rmse=1810.4060 mae=1106.1374 r2=0.965369 bias=-93.7829 | val rmse=2168.3256 mae=1278.0793 r2=0.950229 bias=-106.1874 | params={'min_samples_leaf': 20, 'max_leaf_nodes': 63, 'max_iter': 800, 'max_depth': 15, 'learning_rate': np.float64(0.08368421052631579), 'l2_regularization': np.float64(1.236842105263158), 'max_bins': 255, 'random_state': 42}
2025-12-14 18:00:01,678 - R35_iter600_lr0.121_l21.66_leaf127_fs40 | fs_keep=40% | train rmse=1784.3875 mae=1071.1699 r2=0.966363 bias=-88.9006 | val rmse=2199.0230 mae=1283.1312 r2=0.948851 bias=-102.7956 | params={'min_samples_leaf': 30, 'max_leaf_nodes': 127, 'max_iter': 600, 'max_depth': 20, 'learning_rate': np.float64(0.12052631578947368), 'l2_regularization': np.float64(1.6578947368421053), 'max_bins': 255, 'random_state': 42}
2025-12-14 18:01:41,059 - R36_iter1000_lr0.117_l22.29_leaf127_fs80 | fs_keep=80% | train rmse=1740.4753 mae=1048.0536 r2=0.968014 bias=-84.4617 | val rmse=2155.2304 mae=1264.5850 r2=0.950822 bias=-100.5932 | params={'min_samples_leaf': 40, 'max_leaf_nodes': 127, 'max_iter': 1000, 'max_depth': 20, 'learning_rate': np.float64(0.11684210526315789), 'l2_regularization': np.float64(2.289473684210526), 'max_bins': 255, 'random_state': 42}
